# The Comparative Toxicogenomics Database (CTD) - http://ctdbase.org/
#   Copyright 2012-2020 NC State University. All rights reserved.
#  
# 
# Use is subject to the terms set forth at http://ctdbase.org/about/legal.jsp
# These terms include:
# 
#   1. All forms of publication (e.g., web sites, research papers, databases,
#      software applications, etc.) that use or rely on CTD data must cite CTD.
#      Citation guidelines: http://ctdbase.org/about/publications/#citing
# 
#   2. All electronic or online applications must include hyperlinks from 
#      contexts that use CTD data to the applicable CTD data pages.
#      Linking instructions: http://ctdbase.org/help/linking.jsp
# 
#   3. You must notify CTD, and describe your use of our data:
#      http://ctdbase.org/help/contact.go
# 
#   4. For quality control purposes, you must provide CTD with periodic 
#      access to your publication of our data.
# 
# More information: http://ctdbase.org/downloads/
# 
# Report created: Sun Mar 29 15:41:10 EDT 2020
#
# Fields:
# reference,studyfactors,exposurestressors,receptors,studycountries,mediums,exposuremarkers,diseases,phenotypes,authorsummary
#
24930880,,Zinc^D015032^MESH,^^^^Workers,Japan,,,"Occupational Diseases^D009784^MESH|Respiratory Distress Syndrome, Adult^D012128^MESH",,Two cases of acute respiratory distress syndrome related to zinc fume inhalation and zinc powder inhalation are presented.
24936443,,Arsenic^D001151^MESH|Cadmium^D002104^MESH|Chromium^D002857^MESH|Mercury^D008628^MESH|Nickel^D009532^MESH|Vanadium^D014639^MESH,^^^^Children,Italy,urine,Arsenic^D001151^MESH|Cadmium^D002104^MESH|Chromium^D002857^MESH|Mercury^D008628^MESH|Nickel^D009532^MESH|Vanadium^D014639^MESH,,detection of oxidative stress^GO:0070994^GO|gene expression^GO:0010467^GO,Continuous exposure at relatively low concentrations of heavy metals is associated with increased oxidative DNA damage and impaired expression of DNA repair and detoxification genes in adolescents.
24938491,sex,bromodichloromethane^C025191^MESH|bromoform^C015044^MESH|chlorodibromomethane^C032707^MESH|Chloroform^D002725^MESH|Trihalomethanes^D022882^MESH,^^^^Study subjects,Australia,"water, drinking",bromodichloromethane^C025191^MESH|bromoform^C015044^MESH|chlorodibromomethane^C032707^MESH|Chloroform^D002725^MESH|Trihalomethanes^D022882^MESH,Colorectal Neoplasms^D015179^MESH,,We found weak evidence of a positive association between incidence of colorectal cancer in men and total trihalomethanes concentration in water supplies and a somewhat stronger association for bromoform concentration.
24939673,,Nitrogen Dioxide^D009585^MESH|Particulate Matter^D052638^MESH,^^^^Study subjects,United Kingdom,"air, ambient",Nitrogen Dioxide^D009585^MESH|Particulate Matter^D052638^MESH,Stroke^D020521^MESH,,"We found no evidence of association between outdoor  particulate matter less than 10 microns in diameter (PM10) and nitrogen dioxide (NO2) concentrations and ischemic stroke subtypes but there was a suggestion that living in areas with elevated outdoor PM10 and NO2 concentrations might be associated with increased incidence of mild, but not severe, ischemic stroke."
24945191,,Benzene^D001554^MESH|Toluene^D014050^MESH|Xylenes^D014992^MESH,^^^^Workers,South Africa|United States,"air, ambient",Benzene^D001554^MESH|Toluene^D014050^MESH|Xylenes^D014992^MESH,,,"Authors report the ccupational exposure limits and air quality guideline values for exposure to benzene, toluene, and xylene."
24945889,age|sex,2-ethyl-5-carboxypentyl phthalate^C051450^MESH|bisphenol A^C006780^MESH|mono(2-ethyl-5-hydroxyhexyl) phthalate^C479069^MESH|mono(2-ethyl-5-oxohexyl)phthalate^C080276^MESH|mono-(2-ethylhexyl)phthalate^C016599^MESH|mono-benzyl phthalate^C103325^MESH|monobutyl phthalate^C028577^MESH|monoethyl phthalate^C581825^MESH|mono-isobutyl phthalate^C575690^MESH|Phthalic Acids^D010795^MESH,^^^^Children|^^^^Fetuses|^^^^Pregnant females,Mexico,serum|urine,2-ethyl-5-carboxypentyl phthalate^C051450^MESH|bisphenol A^C006780^MESH|Dehydroepiandrosterone Sulfate^D019314^MESH|INHBB^3625^GENE|mono(2-ethyl-5-hydroxyhexyl) phthalate^C479069^MESH|mono(2-ethyl-5-oxohexyl)phthalate^C080276^MESH|mono-(2-ethylhexyl)phthalate^C016599^MESH|mono-benzyl phthalate^C103325^MESH|monobutyl phthalate^C028577^MESH|monoethyl phthalate^C581825^MESH|mono-isobutyl phthalate^C575690^MESH|SHBG^6462^GENE|Testosterone^D013739^MESH,,dehydroepiandrosterone secretion^GO:0035942^GO|development of secondary male sexual characteristics^GO:0046544^GO|inhibin secretion^GO:0032334^GO|testosterone secretion^GO:0035936^GO,"We explored the relationship of prenatal and childhood exposures to phthalates and bisphenol A with pubertal onset and sex hormones in boys (ages 8-14); prenatal exposure was associated with decreased dehydroepiandrosterone sulfate, decreased inhibin B, increased SHBG, greatly reduced odds of adrenarche, and slightly reduced odds of puberty, while childhood exposure was not associated with adrenarche or puberty, but some exposures were associated with increased SHBG levels and decreased testosterone levels."
24946801,,mica^C011934^MESH|Quartz^D011791^MESH|Smectite^C033214^MESH,^^^^Study subjects,Ethiopia,,,Elephantiasis^D004604^MESH,,"The precise trigger of podoconiosis (endemic non-filarial elephantiasis of the lower legs) is unknown, but epidemiological studies have linked the disease with barefoot exposure to red clay soils of volcanic origin; more quantities of smectite, mica, and quartz within the soil were associated with podoconiosis prevalence."
24949461,,Arsenic^D001151^MESH,Diabetes Mellitus^disease^D003920^MESH^Controls for disease:|Diabetes Mellitus^disease^D003920^MESH^Subjects with disease:|Skin Diseases^disease^D012871^MESH^Controls for disease:|Skin Diseases^disease^D012871^MESH^Subjects with disease:|^^^^Study subjects,Cambodia,"urine|water, drinking",Arsenic^D001151^MESH,,,"We found that participants with skin signs of arsenicosis had a higher level of arsenic in the drinking water, and that drinking water with arsenic levels above the median was associated with a nearly twofold increase in the risk of diabetes mellitus; however, odds ratios did not reach statistical significance most likely because of the small case number."
24952943,age|sex,Carbon Monoxide^D002248^MESH|Nitrogen Dioxide^D009585^MESH|Ozone^D010126^MESH|Particulate Matter^D052638^MESH|Sulfur Dioxide^D013458^MESH,^^^^Study subjects,United Kingdom,"air, ambient",Carbon Monoxide^D002248^MESH|Nitrogen Dioxide^D009585^MESH|Ozone^D010126^MESH|Particulate Matter^D052638^MESH|Sulfur Dioxide^D013458^MESH,"Arrhythmias, Cardiac^D001145^MESH|Atrial Fibrillation^D001281^MESH|Cardiovascular Diseases^D002318^MESH|Death^D003643^MESH|Stroke^D020521^MESH",,"This study found no clear evidence for pollution effects on ST-elevation myocardial infarctions and stroke, which ultimately represent thrombogenic processes, though it did for pulmonary embolism."
24958024,tobacco,Acetaldehyde^D000079^MESH|Acrolein^D000171^MESH|Ethylene Glycol^D019855^MESH|Formaldehyde^D005557^MESH|propionaldehyde^C005556^MESH,,Germany,"e-cigarette, aerosol|e-cigarette, liquid",Acetaldehyde^D000079^MESH|Acrolein^D000171^MESH|Aldehydes^D000447^MESH|Formaldehyde^D005557^MESH|propionaldehyde^C005556^MESH,,,Our data confirm a significant release of carbonylic compounds including formaldehyde and thus a potential health concern for e-cigarette smokers.
24959774,sex,Beryllium^D001608^MESH,^^^^Children,Poland,adenoid,Beryllium^D001608^MESH,,,"We found that girls had a significantly greater beryllium concentration in their pharyngeal tonsils than boys, and that beryllium concentration varies greatly (mostly according to the place of residence); based on the results, the reference value for beryllium in pharyngeal tonsils of children is recommended to be 0.02-0.04 micrograms per gram."
24959775,,Lead^D007854^MESH,^^^^Workers,Poland,blood,ALB^213^GENE|alpha-Tocopherol^D024502^MESH|Bilirubin^D001663^MESH|Lead^D007854^MESH|Lipid Peroxides^D008054^MESH|Uric Acid^D014527^MESH|zinc protoporphyrin^C017803^MESH,,,"We examined the effects of N-acetylcysteine administration on the non-enzymatic defense systems (e.g., uric acid, albumin, bilirubin and alpha-tocopherol) in male workers exposed to lead, over a 12 week study period."
24959985,race,Cadmium^D002104^MESH|Lead^D007854^MESH,Macular Degeneration^disease^D008268^MESH^Controls for disease:|Macular Degeneration^disease^D008268^MESH^Subjects with disease:|^^^^Study subjects,United States,blood|urine,Cadmium^D002104^MESH|Lead^D007854^MESH,Macular Degeneration^D008268^MESH,,"In a representative sample of US adults from the combined 2005-2006 and 2007-2008 NHANES cycles, higher levels of blood and urinary cadmium were associated with an increased risk of age-related macular degeneration."
24961349,,Aflatoxin B1^D016604^MESH,"Carcinoma, Hepatocellular^disease^D006528^MESH^Controls for disease:|Carcinoma, Hepatocellular^disease^D006528^MESH^Subjects with disease:|^^^^Workers",China,dust|serum,aflatoxin-albumin adduct^C098408^MESH|Aflatoxin B1^D016604^MESH,"Carcinoma, Hepatocellular^D006528^MESH",,The findings of this study indicate that occupational aflatoxin B1 airway exposure might be associated with the risk of hepatocellular carcinoma among factory workers.
24961851,,Diethylhexyl Phthalate^D004051^MESH,^^^^Workers,China,urine,Diethylhexyl Phthalate^D004051^MESH|mono(2-ethyl-5-hydroxyhexyl) phthalate^C479069^MESH|mono(2-ethyl-5-oxohexyl)phthalate^C080276^MESH|mono-(2-ethylhexyl)phthalate^C016599^MESH,,,We estimated the daily intake of di-2-ethylhexylphthalate (DEHP) among workers in flavoring factories in China by converting urinary levels of metabolites into DEHP intake levels using two pharmacokinetic models (for an exposed group and two control groups); no significant differences were found among the three groups of workers.
24961859,age|sex,Nickel^D009532^MESH,^^^^Workers,China,,,Dyslipidemias^D050171^MESH|Hyperglycemia^D006943^MESH|Hypertension^D006973^MESH|Metabolic Syndrome^D024821^MESH,,"The prevalence of metabolic syndrome was investigated in 35,104 nickel-exposed workers in China; the prevalence of higher body mass index, hyperglycemia, and hypertension increased with the age of males and females, and was higher in males than in females."
24964093,tobacco,Tobacco Smoke Pollution^D014028^MESH,Asthma^disease^D001249^MESH^Subjects with disease:|^^^^Children,United States,blood cell,C11ORF52^91894^GENE|FRMD4A^55691^GENE,,DNA methylation on cytosine within a CG sequence^GO:0010424^GO,"Our data suggest that prenatal exposure to tobacco smoke is associated with reproducible epigenetic changes that persist well into childhood; however, the biological significance of these altered loci remains unknown."
24964574,diet,Nitrates^D009566^MESH|Nitrites^D009573^MESH,^^^^Study subjects,Poland,"beetroot|cabbage, white|carrot|cucumber|lettuce, butterhead|lettuce, iceberg|potato|radish|tomato",Nitrates^D009566^MESH|Nitrites^D009573^MESH,,,We determined nitrate and nitrite content in selected vegetables purchased at supermarket chains in Siedlce (Poland) to assess their impact on consumer health.
24965135,sex,Arsenic^D001151^MESH,^^^^Fetuses|^^^^Pregnant females,Bangladesh,urine,Arsenicals^D001152^MESH,,DNA methylation on cytosine within a CG sequence^GO:0010424^GO,Early prenatal arsenic exposure appears to decrease DNA methylation in boys; associations between early exposure and DNA methylation might reflect interference with de novo DNA methylation.
24972033,diet|genetics,Mercury^D008628^MESH,^^^^Study subjects,United States,hair,Mercury^D008628^MESH,,,"We analyzed hair mercury concentrations of residents living along the Indian River Lagoon (Florida, US) and ascertained their sources and patterns of seafood consumption (fish vs. shellfish and recreational vs. commercial); concentrations were significantly higher in males compared to females, and in individuals who reported consuming seafood once a day or more."
24978879,disease|genetics,Phthalic Acids^D010795^MESH,Attention Deficit Disorder with Hyperactivity^disease^D001289^MESH^Subjects with disease:|^^^^Children|DRD4^gene^1815^GENE^Subjects with gene influence:,"Korea, Republic of",urine,mono(2-ethyl-5-oxohexyl)phthalate^C080276^MESH|mono-(2-ethylhexyl)phthalate^C016599^MESH|monobutyl phthalate^C028577^MESH,,learning^GO:0007612^GO,"The results of this study suggest a possible association between urinary phthalate metabolite concentrations and poor attentional performances in attention-deficit hyperactivity disorder patients, as well as a genetic influence on this association, especially for dopamine receptor D4 genotype."
24978881,diet,Methylmercury Compounds^D008767^MESH,^^^^Study subjects,Nepal|United States,,Methylmercury Compounds^D008767^MESH,,,"The risk of methylmercury exposure through consumption of fish from Lake Phewa (Nepal) was estimated in different categories of people; the minimum intake was found in visitors, whereas the hotel owners had the maximum intake; some individuals exceeded established tolerable weekly intake guidelines."
24979055,,Fertilizers^D005308^MESH|Pesticides^D010575^MESH,Amyotrophic Lateral Sclerosis^disease^D000690^MESH^Controls for disease:|Amyotrophic Lateral Sclerosis^disease^D000690^MESH^Subjects with disease:,United States,,,Amyotrophic Lateral Sclerosis^D000690^MESH,,"Commercial pesticide (occupational exposure) and fertilizer (residential exposure) were both significantly associated with amyotrophic lateral sclerosis in a randomly selected set of patients; these results need to be interpreted cautiously given the small sample size and the lack of direct exposure measures, but they suggest that environmental, occupational, and residential factors warrant close attention in studies examining risk factors for this disease."
24992486,,Air Pollutants^D000393^MESH,^^^^Fetuses|^^^^Infants or newborns|^^^^Pregnant females,"Taiwan, Province of China","air, ambient",Carbon Monoxide^D002248^MESH|Hydrocarbons^D006838^MESH|Nitrogen Dioxide^D009585^MESH|Ozone^D010126^MESH|Particulate Matter^D052638^MESH|Sulfur Dioxide^D013458^MESH,Neurobehavioral Manifestations^D019954^MESH|Prenatal Exposure Delayed Effects^D011297^MESH,motor behavior^GO:0061744^GO,"Low-level sulfur dioxide exposure prenatally and up to 12 months postnatal could cause adverse neurobehavioral effects at 18 months of age; furthermore, adverse gross motor below average scores at 6 months of age were associated with increased non-methane hydrocarbon exposure during the second and third trimesters."
24993241,,Benzene^D001554^MESH,^^^^Workers,China,blood cell,BSG^682^GENE|NOTCH1^4851^GENE,,,Shoe-factory workers exposed to benzene have increased mRNA levels for leukemia-associated genes NOTCH1 and BSG.
24998215,,Nickel^D009532^MESH,^^^^Workers,Italy,"air, personal|plasma|urine",Nickel^D009532^MESH|Testosterone^D013739^MESH,,,The correlation between the values of urinary nickel and plasma testosterone was found negative; we suggest that occupational exposure to low doses of nickel present in the urban environment is able to influence some lines of the hypothalamic-pituitary-gonadal axis in exposed workers.
25000461,,Arsenic^D001151^MESH,Diabetes Mellitus^disease^D003920^MESH^Controls for disease:|Diabetes Mellitus^disease^D003920^MESH^Subjects with disease:|^^^^Study subjects,Mexico,"cell, urothelial, exfoliated|urine|water, drinking",arsenic acid^C025657^MESH|Arsenicals^D001152^MESH|Arsenic^D001151^MESH|arsenite^C015001^MESH|Cacodylic Acid^D002101^MESH|Creatinine^D003404^MESH|dimethylarsinous acid^C472511^MESH|methylarsonite^C501996^MESH|monomethylarsonic acid^C020300^MESH,Diabetes Mellitus^D003920^MESH,,Our results provide additional support that trivalent arsenic species may be responsible for associations between diabetes and chronic inorganic arsenic exposure.
25001121,,Polycyclic Aromatic Hydrocarbons^D011084^MESH,^^^^Workers,Italy,plasma|urine,1-hydroxypyrene^C033146^MESH|Estradiol^D004958^MESH,,,Urinary 1-hydroxypyrene (a biomarker for exposure to polycyclic aromatic hydrocarbons) was measured in non-smoker male workers and was related to an increase in plasma estradiol; we believe that polycyclic aromatic hydrocarbons can interact with the hypothalamic-pituitary axis.
25001122,,Solvents^D012997^MESH,^^^^Workers,Italy,blood,GGT1^2678^GENE|GOT1^2805^GENE|GPT^2875^GENE,,,Our results support the hypothesis of a risk among the printing industrial workers attributable to the hepatotoxic solvents.
25003170,genetics|tobacco,Tobacco Smoke Pollution^D014028^MESH,Asthma^disease^D001249^MESH^Controls for disease:|Asthma^disease^D001249^MESH^Subjects with disease:|^^^^Children|ICAM1^gene^3383^GENE^Subjects with gene influence:,"Taiwan, Province of China",,,Asthma^D001249^MESH,,Interactions between single-nucleotide polymorphisms in the intercellular adhesion molecule 1 (ICAM1) gene and environmental tobacco smoke are likely to be involved in the development of asthma in childhood.
25007123,diet,Aflatoxins^D000348^MESH,^^^^Study subjects,Brazil,urine,Aflatoxin M1^D016607^MESH,,,"We performed a longitudinal assessment to evaluate the short-term exposure to aflatoxins in Sao Paulo (Brazil) by determination of urine levels: aflatoxin M1 was found (but there was no significant difference among the mean levels in four sampling periods), and the levels indicate a low short-term exposure to aflatoxins through the diet."
25012280,age|race|sex,Air Pollutants^D000393^MESH,Asthma^disease^D001249^MESH^Subjects with disease:|^^^^Study subjects,United States,"air, ambient",Carbon Monoxide^D002248^MESH|Nitrogen Dioxide^D009585^MESH|Ozone^D010126^MESH|Particulate Matter^D052638^MESH|Sulfur Dioxide^D013458^MESH,Asthma^D001249^MESH,,"In Houston (Texas), ozone and nitrogen dioxide are important triggers of asthma attacks in a multi-pollutant model, and persons at highest risk are aged 46-66, African Americans, and males."
25012790,,Cadmium^D002104^MESH,^^^^Study subjects,Thailand,blood|urine,Cadmium^D002104^MESH,,renal system process^GO:0003014^GO,"The benchmark doses and 95% lower confidence limits of urinary and blood Cadmium for renal effects were estimated to be 4.4-8.1 micrograms per gram Creatinine and 4.4-6.2 micrograms per liter in the Thai population aged >= 40 years old, suggesting that more than 40% of the residents were at risk of adverse renal effects induced by Cadmium exposure in Thailand."
25014249,,Endocrine Disruptors^D052244^MESH,^^^^Infants or newborns,Netherlands,"blood, cord|milk, human","2,4,5,2',4',5'-hexachlorobiphenyl^C014024^MESH|Dichlorodiphenyl Dichloroethylene^D003633^MESH|mono(2-ethyl-5-hydroxyhexyl) phthalate^C479069^MESH|mono(2-ethyl-5-oxohexyl)phthalate^C080276^MESH|perfluorooctane sulfonic acid^C076994^MESH|perfluorooctanoic acid^C023036^MESH",,developmental growth^GO:0048589^GO|head development^GO:0060322^GO,"We assessed the association between prenatal exposure to various endocrine disrupting chemicals and child growth during the first year; exposure to phthalates and DDE was associated with body mass index as well as with head circumference during the first year after birth; these results should be interpreted with caution though, due to the limited sample size."
25018181,,acetochlor^C043377^MESH,^^^^Workers,United States,,,Agricultural Workers' Diseases^D000382^MESH|Colorectal Neoplasms^D015179^MESH|Lung Neoplasms^D008175^MESH,,"The associations between acetochlor and colorectal and lung cancer are novel; however, due to lack of exposure-response trend, small number of exposed cases, and relatively short time between use and cancer development, these findings warrant caution in interpretation and further investigation."
25018261,,"2,4-Dichlorophenoxyacetic Acid^D015084^MESH|alachlor^C000188^MESH|Aldrin^D000452^MESH|Diazinon^D003976^MESH",^^^^Workers,United States,,,,telomere maintenance^GO:0000723^GO,"We found two herbicides (alachlor and 2,4-dichlorophenoxyacetic acid) and two insecticides (diazinon and aldrin) significantly associated with alterations in relative telomere length in blood DNA."
25027041,,Silicon Dioxide^D012822^MESH,^^^^Workers,"Iran, Islamic Republic of",,,"Asthma, Occupational^D059366^MESH|Bronchitis, Chronic^D029481^MESH|Silicosis^D012829^MESH",,"Agate grinding workers in Iran are at increased risk for respiratory diseases, specifically for silicosis and chronic bronchitis; the disease is related to silica dust exposure, poor ventilation, and inappropriate personal protection."
25027042,,"Coloring Agents^D004396^MESH|Dust^D004391^MESH|Metals, Heavy^D019216^MESH|Particulate Matter^D052638^MESH",^^^^Workers,Thailand,"air, ambient|air, indoor|dye|incense stick",Barium^D001464^MESH|Cadmium^D002104^MESH|Chromium^D002857^MESH|Dust^D004391^MESH|Lead^D007854^MESH|Manganese^D008345^MESH|Nickel^D009532^MESH|Particulate Matter^D052638^MESH,,,Dust and chemicals were major threats in small household incense and joss stick factories in Thailand.
25029649,,Air Pollutants^D000393^MESH,^^^^Children,Portugal,"air, indoor",Carbon Dioxide^D002245^MESH|Carbon Monoxide^D002248^MESH|Formaldehyde^D005557^MESH|Ozone^D010126^MESH|Particulate Matter^D052638^MESH|Sulfur Dioxide^D013458^MESH|Volatile Organic Compounds^D055549^MESH,,cognition^GO:0050890^GO,"We evaluated the indoor air quality in schools in Coimbra (Portugal), and found a statistically significant association between lack of concentration in the children and exposure to high levels of carbon dioxide."
25032739,diet|tobacco,perfluorooctane sulfonic acid^C076994^MESH|perfluorooctanoic acid^C023036^MESH,^^^^Study subjects|^^^^Workers,"Korea, Republic of",plasma,perfluorooctane sulfonic acid^C076994^MESH|perfluorooctanoic acid^C023036^MESH,,,"We determined perfluorooctanoate (PFOA) and perfluorooctane sulfonate (PFOS) levels in plasma; an association was seen between PFOA and the intensity use of paper cups, and active smokers had lower PFOA and PFOS than non-smokers."
25042034,age|body mass index|disease|race|sex|tobacco,Cadmium^D002104^MESH|Zinc^D015032^MESH,Albuminuria^disease^D000419^MESH^Controls for disease:|Albuminuria^disease^D000419^MESH^Subjects with disease:|negative regulation of glomerular filtration^go^GO:0003105^GO^Controls for phenotype:|negative regulation of glomerular filtration^go^GO:0003105^GO^Subjects with phenotype:|^^^^Study subjects,United States,blood,Cadmium^D002104^MESH|Zinc^D015032^MESH,,,"Our results suggest that low serum zinc concentrations are associated with an increased risk of cadmium nephrotoxicity; elevated blood cadmium was also associated with several demographic characteristics (age, sex, body mass index, race/ethnicity, hypertension, and smoking status)."
25043455,age|tobacco,Cadmium^D002104^MESH,^^^^Study subjects,United States,urine,Cadmium^D002104^MESH,Glucose Metabolism Disorders^D044882^MESH,glucose metabolic process^GO:0006006^GO,"We conclude that there is a significant non-linear, complex relationship between urinary Cadmium levels, age, smoking habits and odds of prediabetes."
25048800,,Polycyclic Aromatic Hydrocarbons^D011084^MESH,^^^^Children,United States,,,"Asthma^D001249^MESH|Rhinitis, Allergic^D065631^MESH",gene expression^GO:0010467^GO|methylation^GO:0032259^GO|regulation of immune response^GO:0050776^GO,"Collectively, these results demonstrate that increased ambient PAH exposure is associated with impaired systemic immunity and epigenetic modifications in a key locus involved in atopy: FOXP3, with a higher impact on atopic children."
25050652,,Particulate Matter^D052638^MESH,,United States,"air, ambient",Particulate Matter^D052638^MESH,,,"A 21 percent reduction of particulate matter (PM2.5) mass levels between 2000 and 2010 in Arkansas explained a significant fraction of the declining non-accidental, cardiovascular, stroke, and lung cancer mortalities."
25051057,,bisphenol A^C006780^MESH,^^^^Pregnant females,"Taiwan, Province of China","blood, cord",bisphenol A^C006780^MESH|PAX6^5080^GENE|SOX2^6657^GENE,,,"These results indicated that trans-placental bisphenol A exposure down-regulated gene expression of SOX2 and PAX6, potentially underlying the adverse effect on childhood neuronal development."
25051312,,Air Pollutants^D000393^MESH|Vehicle Emissions^D001335^MESH,^^^^Fetuses,United States,"air, ambient","1,3-butadiene^C031763^MESH|2-dichlorobenzene^C004726^MESH|2-xylene^C026114^MESH|3-xylene^C031285^MESH|4-dichlorobenzene^C018511^MESH|4-xylene^C031286^MESH|Acetaldehyde^D000079^MESH|Benzene^D001554^MESH|Chloroform^D002725^MESH|Chromium^D002857^MESH|chromium hexavalent ion^C074702^MESH|Copper^D003300^MESH|ethylbenzene^C004912^MESH|Formaldehyde^D005557^MESH|Lead^D007854^MESH|Manganese^D008345^MESH|Methylene Chloride^D008752^MESH|Molybdenum^D008982^MESH|Nickel^D009532^MESH|Polycyclic Aromatic Hydrocarbons^D011084^MESH|Selenium^D012643^MESH|Tetrachloroethylene^D013750^MESH|Toluene^D014050^MESH|Trichloroethylene^D014241^MESH|Vanadium^D014639^MESH",Autistic Disorder^D001321^MESH,,"Risks for autism in children may increase following in utero exposure to ambient air toxics from urban traffic and industry emissions, as measured by community-based air-monitoring stations."
25053396,sex,Mercury^D008628^MESH,^^^^Study subjects,"Korea, Republic of",blood,,Metabolic Syndrome^D024821^MESH,,Blood mercury concentration was independently associated with an increased risk of Metabolic Syndrome in men.
25061923,,methylparaben^C015358^MESH|Phenols^D010636^MESH|Triclosan^D014260^MESH,^^^^Infants or newborns|^^^^Pregnant females,France,urine,"2,4-dichlorophenol^C004762^MESH|2,5-dichlorophenol^C056892^MESH|bisphenol A^C006780^MESH|butylparaben^C038091^MESH|ethyl-p-hydroxybenzoate^C012313^MESH|methylparaben^C015358^MESH|oxybenzone^C005290^MESH|propylparaben^C006068^MESH|Triclosan^D014260^MESH",Birth Weight^D001724^MESH|Fetal Growth Retardation^D005317^MESH,head development^GO:0060322^GO,"Our study suggested associations between prenatal exposure to parabens and triclosan and prenatal or early postnatal growth; however, we relied on only one spot urine sample to assess exposure, and because of the high variability in phenol urinary concentrations reported during pregnancy, using only one sample may result in exposure misclassification (in particular for bisphenol A)."
25069830,,Ammonium Compounds^D064751^MESH|Nitrates^D009566^MESH|Particulate Matter^D052638^MESH|Soot^D053260^MESH|Sulfates^D013431^MESH,Myocardial Infarction^disease^D009203^MESH^Subjects with disease:,Sweden,air,Ammonium Compounds^D064751^MESH|Nitrates^D009566^MESH|Particulate Matter^D052638^MESH|Soot^D053260^MESH|Sulfates^D013431^MESH,Myocardial Infarction^D009203^MESH,,"In the cold period, locally generated particulate matter and days with limited local dispersion affected acute myocardial infarction hospitalizations, indicating importance of local emissions from e.g. traffic."
25073184,,bisphenol A^C006780^MESH,^^^^Children|^^^^Pregnant females,United States,urine,bisphenol A^C006780^MESH,,,"Prenatal and early-childhood bisphenol A (BPA) exposures were not associated with increased body mass index at 2-5 years of age, but higher early-childhood BPA exposures were associated with accelerated growth during this period."
